,X,Academic_Language..Low.Frequency.,Citation,Contingency,Descriptive,Directive,Elaborative_Syntax,Emotion_Positive,Emotion_Negative,Emotion_Surprise,Expository_Devices,FirstPerson,Forceful,Future,Inquiry,Interactive,Metadiscourse,Narrative,Past,Persons,Privy,Public,Reasoning,Relations_Positive,Relations_Negative,Reporting,Strategic,Values_Positive,Values_Negative,Name,Type
76,2003_09_03_USS_Health_Nursing.txt,7.53,0.53,0.35,3.68,1.58,13.13,0.7,1.05,0,2.8,1.23,1.93,1.23,0.88,0.35,0.35,2.63,0.88,5.6,0.35,3.5,0.7,2.28,0.88,8.58,0.18,3.15,0.18,458,Governing
77,2003_09_10_USS_Health_Vaccines.txt,5.36,0,0.89,2.68,0,16.07,0,3.57,0,2.68,1.79,1.79,0.89,0,0.89,0,6.25,0.89,3.57,0,6.25,0.89,3.57,2.68,6.25,1.79,5.36,0,458,Governing
78,2003_10_14_USS_Health_Genetics.txt,14.18,0.59,1.92,1.62,1.18,12.11,0.44,2.07,0,2.07,0.59,3.4,1.33,0.44,0.3,0.74,2.51,0.15,2.36,1.77,2.07,0.74,2.22,1.33,5.91,1.92,3.69,1.03,458,Governing
79,2003_10_27_USS_Health_Air.txt,3.15,0.83,0.66,4.98,0.83,13.02,0.41,0.91,0,1.58,3.15,2.74,1.24,0.41,0.17,0.75,3.73,1,3.23,1.49,3.32,0.66,2.9,1,5.14,1.41,1.91,0.25,458,Governing
80,2003_11_06_USS_Health_Food.txt,6.3,0.17,0.66,5.97,1.49,16.25,0.66,2.16,0,1.99,0.83,2.49,0.5,0,0,0.17,1.82,0.83,3.98,0.66,4.31,0.5,1.49,1,8.96,1.66,1.16,1.33,458,Governing
81,2003_11_12_USS_Health_CARES.txt,7.54,0.49,0.49,3.58,1.55,13.6,0.29,1.1,0.04,2.08,1.59,2.2,1.02,0.24,0.24,0.37,2.97,0.94,4.56,0.61,2.73,0.37,3.26,0.69,6.8,2.73,2.85,0.33,458,Governing
82,2003_11_19_USS_Health_Medicare.txt,8.5,0.38,1.43,3.46,1.27,11.43,0.51,1.39,0.02,3.27,1.45,2.72,1.5,0.48,1.54,0.49,3.33,0.51,4.2,1.35,0.97,0.99,1.29,0.93,6.98,1.92,1.94,0.23,458,Governing
83,2003_11_24_USS_Health_Coverage.txt,7.33,0.23,0.69,5.54,1.56,11.19,0.46,1.15,0.12,2.83,1.56,2.77,1.04,0.35,1.21,0.52,2.94,1.44,3,1.15,1.62,0.92,1.67,1.1,5.42,1.79,0.87,0.29,458,Governing
84,2004_04_01_USS_Health_Presc_Drugs.txt,8.7,0.18,0.54,3.26,1.27,12.32,0.54,0.18,0,2.9,0.54,2.17,1.45,0.36,0.54,0.54,2.54,1.45,3.99,1.09,2.54,1.27,1.45,1.81,5.98,1.27,2.72,0.36,458,Governing
85,2004_05_12_USS_Health_Children.txt,7.97,0.57,1.04,5.03,0.57,12.62,0.57,2.47,0,2.47,2.75,2.47,0.76,1.71,0.38,0.57,3.04,0.38,2.56,1.14,3.51,0.76,2.75,0.47,5.79,0.85,2.75,1.52,458,Governing
86,2004_05_12_USS_Health_Disabilities.txt,6.6,0.19,0.74,3.16,0.56,14.14,0.09,1.86,0,2.33,1.77,2.88,0.84,1.95,0.19,0.37,2.79,0.65,5.4,1.3,5.3,0.84,2.6,0.74,4.37,1.67,3.63,0.56,458,Governing
87,2004_06_23_USS_Health_Occupational.txt,6.33,0.67,2,5.33,0.33,12.33,0,1,0,2.67,1.67,3,0.33,0.33,0,0.67,2.33,1.33,3.33,0.67,2.33,0,4,0.33,10,0.33,2.67,1.33,458,Governing
88,2004_07_08_USS_Health_Veterans.txt,8.5,0.85,0.31,3.59,0.48,12.57,0.31,1.64,0,2.87,1.21,2.1,1.29,0.44,0.15,0.48,3.74,2.08,4.09,1.02,2.91,0.56,1.08,0.81,6.67,1.66,2.45,1.12,458,Governing
89,2004_09_14_USS_Health_Mental.txt,4.74,0.4,0.4,1.19,0.79,15.02,0.79,0,0,0.79,1.58,1.98,0.79,0,0,0,5.53,0.4,3.95,1.58,5.53,1.19,4.74,0,7.11,1.98,2.37,0,458,Governing
90,2004_09_22_USS_Health_Patient_Privacy.txt,5.83,1.01,1.12,2.8,1.68,10.54,0.34,1.91,0,0.67,1.46,2.8,1.35,0.9,0.56,0.11,2.8,0.56,5.83,2.02,4.37,0.34,1.12,1.46,4.82,1.12,4.82,0.22,458,Governing
91,2004_10_08_USS_Health_EPA.txt,15.89,0.25,0.25,4.04,0.5,14,0.25,2.77,0,5.3,0.38,0.5,0.76,0.38,0,0.13,2.9,1.26,2.27,1.13,3.28,0,1.51,0.5,5.93,0.63,2.27,3.03,458,Governing
92,2005_02_16_USS_Health_Genetics.txt,11.79,0.38,1.38,2.13,0.63,13.3,1,1.63,0,2.38,2.01,2.51,1.38,1.13,0.25,0.13,3.51,0.25,3.14,0.63,3.26,0.88,1.51,1.63,6.15,1.63,4.52,1,458,Governing
93,2005_03_09_USS_Health_Medical_Bankruptcy.txt,9.09,0.24,0.47,4.37,1.18,11.57,0.35,3.54,0.24,5.31,0.59,2.13,0.94,0.47,0.94,0.12,3.9,0.83,4.84,1.3,1.42,1.65,0.59,0.94,5.08,0.35,1.3,3.9,458,Governing
94,2005_03_17_USS_Health_Medicaid.txt,5.26,0.4,1.35,5.26,0.81,11.34,0.13,1.89,0,4.45,2.56,3.91,0.27,0.13,1.89,0.67,2.29,0.4,3.37,0.54,2.29,0.4,1.62,0.4,6.34,2.29,2.29,0.67,458,Governing
95,2005_04_14_USS_Health_N_Guard.txt,6.82,0.26,0.09,3.11,1.04,13.13,0.6,0.86,0.09,1.55,2.76,3.2,0.43,0.35,0.26,0.52,2.5,1.64,4.58,1.12,3.11,0.52,2.85,0.95,7.6,2.25,2.68,0.17,458,Governing
96,2005_05_17_USS_Health_Pollution.txt,8.92,0.38,0.66,6.26,0.57,15.18,0.28,0.85,0,1.9,1.71,1.9,0.76,0.19,0,0.38,3.8,1.8,0.95,0.57,4.08,0.47,1.52,0.76,8.73,2.37,3.13,0.09,458,Governing
97,2005_05_23_USS_Health_Immigrarnts.txt,8.2,0.82,0.16,2.95,0.98,10,0.33,1.15,0,2.79,1.48,2.13,1.31,0.33,0,0.33,3.93,0.66,7.21,0.98,5.08,0.49,1.97,0.66,7.54,0.82,5.08,0.66,458,Governing
98,2005_05_25_USS_Health_Aging.txt,8.87,0.46,0.8,5.46,0.23,13.08,1.25,2.05,0,2.96,1.25,1.71,0.68,0.23,0,0.23,2.96,0.46,5.12,1.25,1.59,0.46,2.96,0.46,7.17,0.8,3.64,2.16,458,Governing
