,,,PC1,PC2,PC3
2003_11_21_USS_Foreign_Bomb_Scans.txt,USS,Foreign,1.80445037,-1.6601381,-1.052724788
1999_01_28_FL_Health_AIDS.txt,FL,Health,-1.058664828,0.012800574,-0.596405191
2001_09_12_USS_Foreign_911.txt,USS,Foreign,-1.420057964,-1.009679877,-0.756140069
2013_01_23_SS_Foreign__Benghazi_Sen.txt,SS,Foreign,0.595828984,0.428374149,0.097716269
2012_08_05_SS_Health_Malawi.txt,SS,Health,-2.967683199,4.061353144,-1.516226157
1998_11_24_FL_Foreign_Hurricane_Latin-Am.txt,FL,Foreign,-0.205169379,-0.778096233,-0.319536259
2009_12_04_SS_Foreign_NATO.txt,SS,Foreign,0.717903054,2.763692619,0.128243665
2012_03_12_SS_Foreign_Security.txt,SS,Foreign,1.765435028,2.19635562,1.047719982
2012_10_18_SS_Foreign_Energy.txt,SS,Foreign,0.247752667,0.266769939,1.032844242
2008_11_20_USS_Women_Health.txt,USS,Women,1.669480405,0.519490335,1.183792215
2011_06_09_SS_Foreign_Iran.txt,SS,Foreign,6.015817019,0.958437591,-0.06995939
1993_09_16_FL_Health_Black Caucus.txt,FL,Health,-0.872718007,-1.649709329,0.979602032
2011_05_03_SS_Women_Maternal_Health.txt,SS,Women,-1.302832778,1.145647872,-0.650820809
2003_06_25_USS_Health_Prescription_Drugs.txt,USS,Health,1.860297488,-1.806256499,1.637219828
2012_06_21_SS_Women_Sports.txt,SS,Women,-3.077846866,-0.424932905,-2.533083722
2012_09_26_SS_Health_AIDS.txt,SS,Health,-1.701142567,1.564185031,1.625752974
2001_09_21_USS_Foreign_Air_Safety.txt,USS,Foreign,0.045313022,0.140658583,1.417003918
1994_02_15_FL_Health_AM_Legion.txt,FL,Health,-1.47219737,-1.310313823,0.013490674
2007_01_10_USS_Foreign_Iraq_Bush.txt,USS,Foreign,2.743734661,0.603692629,2.061284819
1994_03_15_FL_Health_Wash_U.txt,FL,Health,-1.575751295,-1.687178522,0.313526899
1998_07_28_FL_Women_Breast_Cancer.txt,FL,Women,-0.270167971,2.441564777,-2.353210061
2010_11_13_SS_Women_Burma Activist.txt,SS,Women,1.777983212,1.49783916,-0.518929094
1998_12_04_FL_Foreign_Child_Labor.txt,FL,Foreign,0.116148891,-1.656107997,-2.481838844
2010_04_09_SS_Foreign_Nuclear.txt,SS,Foreign,-0.310101087,0.085651742,0.949109311
2011_07_20_SS_Women_Afghan_Asia.txt,SS,Women,-2.79642052,2.687823741,1.598290556
2005_07_21_USS_Health_N_Guard.txt,USS,Health,-0.141162925,-2.178277577,1.158283416
2010_05_13_SS_Women_Afghanistan.txt,SS,Women,-1.071492604,3.67339155,0.500646395
2006_09_29_USS_Women_Breast_Cancer.txt,USS,Women,0.717472651,0.498567505,1.169162663
2010_06_17_SS_Foreign_START.txt,SS,Foreign,0.714094919,-0.356532696,2.296018412
2010_10_14_SS_Foreign_DOD.txt,SS,Foreign,1.059967586,1.410241931,0.741329624
1997_03_24_FL_Foreign_Genocide.txt,FL,Foreign,3.530669171,0.612280576,2.513931327
2002_02_25_USS_Women_Gold_Star_Mothers.txt,USS,Women,0.550266694,0.206229899,-2.208302317
2010_09_21_SS_Health_Nutrition.txt,SS,Health,-0.857855077,0.627504368,0.573952994
2001_02_13_USS_Health_Access.txt,USS,Health,0.665880018,1.006906377,0.411576283
2011_06_11_SS_Health_Zambia.txt,SS,Health,-0.278258848,2.015026652,0.355114272
1998_06_27_FL_Health_China.txt,FL,Health,-0.454833114,1.091270112,-0.158885856
1999_03_04_FL_Women_UNIFEM.txt,FL,Women,-1.230621528,-0.355865937,-0.96560634
1998_11_18_FL_Women_Mothers.txt,FL,Women,-1.636775144,0.919644858,-1.087283914
2012_01_24_SS_Women_Business Leaders.txt,SS,Women,-1.769709752,-0.734234155,-0.433397241
2006_04_08_USS_Women_BrownU.txt,USS,Women,-1.702182698,-2.589098214,-0.246503935
2009_03_12_SS_Women_Women's_History.txt,SS,Women,-1.232251675,-0.778611922,-1.090007186
1994_04_26_FL_Women_Scripps_College.txt,FL,Women,-1.835070348,-1.504741569,-1.716813116
2009_04_30_SS_Foreign_War_Budget.txt,SS,Foreign,1.249324768,2.583109078,1.889324631
2009_12_03_SS_Foreign_Afghanistan.txt,SS,Foreign,-0.242300266,0.437069855,0.81422022
2003_11_19_USS_Health_Medicare.txt,USS,Health,-0.439143917,-2.518587312,0.875136342
1998_07_27_FL_Women_YWCA.txt,FL,Women,-0.759351991,-0.702643562,-1.064139466
2011_09_13_SS_Foreign_Religion_Afghan.txt,SS,Foreign,1.092630786,0.331363039,-0.730231917
1999_03_03_FL_Women_Politics.txt,FL,Women,-1.993861492,-2.69004737,-0.491811734
1997_06_14_FL_Foreign_Democracy.txt,FL,Foreign,-1.204771261,-0.17150986,-0.932963086
2010_03_25_SS_Women_Women's_History.txt,SS,Women,-1.952086394,-0.169777568,-1.632625917
1998_11_17_FL_Women_Domestic_Violence.txt,FL,Women,0.708454566,-0.882952733,-1.18730323
2006_06_08_USS_Health_Flu.txt,USS,Health,2.74956252,-1.267688032,-1.670441127
2004_07_08_USS_Health_Veterans.txt,USS,Health,2.609947838,-1.113551828,-0.520218385
1999_03_16_FL_Foreign_USAID.txt,FL,Foreign,-1.74030142,-0.879937507,-0.428281912
2011_06_05_SS_Health_Aids.txt,SS,Health,1.785594919,0.154903596,-0.774828861
2006_07_11_USS_Foreign_National_Preparedness.txt,USS,Foreign,0.640746639,-1.827574438,2.175140772
1995_04_13_FL_Women_Mother_Year.txt,FL,Women,-1.734472586,-1.794044061,-1.970552079
1993_02_21_FL_Women_First_Ladies.txt,FL,Women,-4.466072194,-3.068032446,-0.857649899
2005_04_29_USS_Women_Government.txt,USS,Women,-1.401386722,-1.815047855,-1.257915783
2006_02_28_USS_Health_YMCA.txt,USS,Health,3.439815039,4.964132475,1.454174355
1999_04_13_FL_Foreign_Global_Leadership.txt,FL,Foreign,-1.357459471,-1.340397559,0.435030872
2003_04_01_USS_Women_History.txt,USS,Women,1.531175266,0.849152022,-1.848691871
2006_10_31_USS_Foreign_Council For Rel.txt,USS,Foreign,1.470536673,-0.332248598,1.050071914
2009_05_19_SS_Foreign_Diplomacy.txt,SS,Foreign,-1.055103463,2.525660373,0.44054498
1995_09_06_FL_Women_China_Economic.txt,FL,Women,-0.092834586,0.577840695,-0.138178114
2011_09_20_SS_Health_Nutrition.txt,SS,Health,-1.208973054,1.726604506,0.976281194
2010_05_07_SS_Women_Parental_Leave.txt,SS,Women,-2.788766738,-0.085090054,0.413059833
1999_05_05_FL_Foreign_Kosovo_Refug.txt,FL,Foreign,-5.271328679,0.630477194,-1.803196852
1997_04_18_FL_Women_Leadership.txt,FL,Women,-1.793193083,-1.943646158,0.052908337
2004_07_22_USS_Foreign_911_Comm.txt,USS,Foreign,-0.380967184,-1.900221626,2.394678737
2010_09_27_SS_Foreign_Peace.txt,SS,Foreign,1.121326978,0.826192001,2.098402477
2003_10_14_USS_Health_Genetics.txt,USS,Health,1.759726994,-3.043620642,3.253960312
2003_10_17_USS_Foreign_Iraq.txt,USS,Foreign,-0.004513133,-2.81531504,0.62303666
2006_09_13_USS_Foreign_Homeland_Sec.txt,USS,Foreign,0.77964907,-2.017555917,-1.881343648
2004_10_11_USS_Foreign_Security.txt,USS,Foreign,2.696094611,-0.44317339,2.484272634
1994_08_16_FL_Health_Families.txt,FL,Health,-0.840907137,-1.829123401,-1.213406011
1994_05_12_FL_Foreign_Mandela.txt,FL,Foreign,-1.910098385,-0.259525044,-0.501302432
2011_05_31_SS_Women_Health_Economy.txt,SS,Women,-2.989144591,0.707544193,-1.379418588
2004_07_08_USS_Foreign_Homeland_Security.txt,USS,Foreign,-0.439223084,-1.363400098,1.244378463
1999_05_12_FL_Foreign_Peace_Ireland.txt,FL,Foreign,-0.722772377,-1.630103473,-1.807449999
2005_03_17_USS_Women_Pregnancy.txt,USS,Women,2.116162225,-1.007187478,5.653756311
2009_09_23_SS_Foreign_Burma.txt,SS,Foreign,-0.83893998,-0.111884486,1.181905506
1999_04_12_FL_Foreign_Violence.txt,FL,Foreign,-0.063389662,-2.629199667,-3.827879629
1996_07_04_FL_Foreign_RFE_RL.txt,FL,Foreign,0.933129428,1.672162049,-1.658905508
2005_05_25_USS_Health_Aging.txt,USS,Health,2.13997917,1.151702996,-1.355464822
2005_10_26_USS_Health_Disabilities.txt,USS,Health,1.1773755,0.218507416,-0.482205626
2010_10_09_SS_Women_GSMA.txt,SS,Women,-0.045204677,1.173714912,0.292022928
2013_01_30_SS_Foreign_Mexico.txt,SS,Foreign,-1.941942989,1.33910806,-0.046554354
2002_03_14_USS_Women_Girl_Scouts.txt,USS,Women,1.546603019,4.288936609,-0.885679054
2009_12_14_SS_Foreign_Human_Rights.txt,SS,Foreign,0.789034397,0.981388876,1.468062488
1999_07_19_FL_Women_World_Cup.txt,FL,Women,-1.732451278,-0.380915436,-3.572396138
2005_07_13_USS_Foreign_Plane_Safety.txt,USS,Foreign,1.568887031,-3.070491637,0.180195184
1994_10_18_FL_Health_Koop Awards.txt,FL,Health,-1.665516735,-1.05225714,1.583322906
1999_11_11_FL_Foreign_Peace.txt,FL,Foreign,0.354012457,1.398971278,0.615682664
2006_07_13_USS_Foreign_Air_Safety.txt,USS,Foreign,-0.999587719,-0.061403648,-2.099066096
2001_12_06_USS_Foreign_Defense.txt,USS,Foreign,0.543866059,1.283994556,-0.50036
1995_09_07_FL_Foreign_Democracy_Mongolia.txt,FL,Foreign,-0.643334425,2.459151223,0.399454264
2008_07_16_USS_Women_Aids.txt,USS,Women,2.15065351,1.642020576,1.707329331
1999_10_07_FL_Foreign_Globalization.txt,FL,Foreign,0.497728511,-0.28094945,-1.06890736
2011_10_23_SS_Foreign_Science.txt,SS,Foreign,-0.153561411,4.186197116,-0.137052685
1998_10_11_FL_Women_Bulgaria.txt,FL,Women,-0.500533887,0.68917814,-1.347600045
1997_03_20_FL_Foreign_South_Africa.txt,FL,Foreign,-0.597531145,-0.324125497,0.380890681
2004_09_23_USS_Foreign_Sudan_Darfur.txt,USS,Foreign,1.619653654,0.240213535,1.248804934
2006_01_19_USS_Foreign_Middle East.txt,USS,Foreign,0.856450269,-1.089426984,0.691059706
2005_05_10_USS_Foreign_Iraq_Afghan.txt,USS,Foreign,-0.190050932,-1.827806567,1.163770178
2004_05_12_USS_Health_Disabilities.txt,USS,Health,1.136442434,-1.320910193,1.974377047
2005_10_06_USS_Health_Influenza.txt,USS,Health,3.577565504,-0.813039718,2.099536284
2012_06_12_SS_Health_Malnutrition.txt,SS,Health,-1.41106589,1.022578275,-0.58243215
1998_12_10_FL_Women_Human_Rights.txt,FL,Women,1.50395402,1.638241503,-1.731399823
2006_06_08_USS_Foreign_9-11 Security.txt,USS,Foreign,0.998940543,-1.509926173,-1.809248425
2011_11_08_SS_Health_AIDS.txt,SS,Health,0.256740636,-0.040794711,-0.277498956
2009_08_07_SS_Women_Women's_Day.txt,SS,Women,-2.752524612,0.37809715,0.142618371
2010_10_26_SS_Women_Peace.txt,SS,Women,1.213842966,2.057087614,1.816629997
2011_08_11_SS_Health_Africa_Famine.txt,SS,Health,0.376876578,0.458095703,-0.298138788
2012_09_25_SS_Foreign_Water.txt,SS,Foreign,-2.051077382,-0.93501606,0.986216862
2006_12_05_USS_Health_Antimicrobial.txt,USS,Health,3.295117471,-2.082829949,-0.374732275
2003_10_27_USS_Health_Air.txt,USS,Health,-0.251468496,-1.775563287,-0.245080339
1998_12_13_FL_Women_HIPPY.txt,FL,Women,-2.669403924,-0.537146838,-1.654874478
2011_07_08_SS_Women_Betty Ford.txt,SS,Women,1.019338282,3.518426439,-4.083835181
2010_09_22_SS_Women_Health.txt,SS,Women,-0.667264798,4.541509206,-0.669801113
1998_06_02_FL_Women_Mothers.txt,FL,Women,-0.287619475,-0.286464393,-0.906954329
2006_07_18_USS_Health_Stem_Cell.txt,USS,Health,-0.088620335,-1.701115802,-0.393935834
2005_12_16_USS_Foreign_Patriot_Act.txt,USS,Foreign,2.481491207,-1.391746025,1.581454858
2000_02_15_FL_Women_Vital_Voices.txt,FL,Women,-0.38909238,0.819422288,-1.535920343
2003_10_16_USS_Foreign_War_Expenses.txt,USS,Foreign,2.755280621,0.352878488,0.182509873
2009_11_08_SS_Foreign_Atlantic_Council.txt,SS,Foreign,0.472749256,0.452561186,-2.544768317
2010_05_11_SS_Health_CARE.txt,SS,Health,0.29049845,0.222698896,-0.190317832
1999_05_18_FL_Foreign_Balkans.txt,FL,Foreign,-0.943106569,-0.35908039,-2.770908666
2012_12_12_SS_Women_Caribbean.txt,SS,Women,2.066318527,-1.476592389,-0.252817704
2005_04_14_USS_Health_N_Guard.txt,USS,Health,-0.230732129,-0.766686163,0.539765575
2005_11_18_USS_Health_Lead_Poisoning.txt,USS,Health,3.269198612,0.370698087,-1.551186611
1998_10_13_FL_Foreign_Globalization.txt,FL,Foreign,-0.778965511,-2.798281989,0.939069883
2002_05_23_USS_Foreign_Bio_Terrorism.txt,USS,Foreign,0.952104099,0.000280082,0.731520313
1997_11_08_FL_Women_Arts.txt,FL,Women,-1.633103428,-0.909418502,-2.05724335
2011_07_06_SS_Women_Tech.txt,SS,Women,-3.800234805,0.125640409,0.862855619
2011_12_19_SS_Foreign_land_mines.txt,SS,Foreign,1.277634069,1.596887719,-0.967245831
2012_12_06_SS_Foreign_Human_Rights.txt,SS,Foreign,0.082828079,-0.561221662,0.199417294
2011_09_09_SS_Foreign_Smart_Power.txt,SS,Foreign,0.866709552,-0.442276823,0.464874699
2011_11_30_SS_Women_Aid.txt,SS,Women,-0.449569987,1.032835199,1.654354299
2011_06_12_SS_Women_Tanzania_Health.txt,SS,Women,-2.317134472,1.737605171,-0.258686989
1997_10_31_FL_Foreign_Belfast.txt,FL,Foreign,-0.59685545,0.046916047,-1.845004276
1997_11_16_FL_Foreign_Russia.txt,FL,Foreign,-1.177542991,0.266051468,-0.371297876
2004_07_21_USS_Foreign_Peace_Contest.txt,USS,Foreign,0.487802997,2.431854198,0.66678767
2009_11_09_SS_Foreign_Brandenburg.txt,SS,Foreign,0.798795315,0.583598019,-2.012362217
2005_02_16_USS_Health_Genetics.txt,USS,Health,1.549880661,-0.148297935,2.178734083
1995_01_26_FL_Women_Roosevelt.txt,FL,Women,-1.836674762,-2.313120157,-1.952330644
1996_11_21_FL_Women_Democracy.txt,FL,Women,0.134742975,-0.458063654,-0.37412351
1998_03_25_FL_Foreign_Human_Rights.txt,FL,Foreign,-0.156754825,-0.168336606,-1.092483513
2010_02_14_SS_Foreign_Islamic_Forum.txt,SS,Foreign,0.358509963,1.63292448,0.853488645
2001_12_06_USS_Foreign_911.txt,USS,Foreign,-0.420011689,-0.264871353,-2.663195204
2009_03_11_SS_Women_Courage_Award.txt,SS,Women,-0.705473134,1.696772769,-1.123982839
2011_07_01_SS_Women_Middle_East.txt,SS,Women,-2.523198268,-0.522392304,-1.080647871
2002_06_05_USS_Health_Veterans.txt,USS,Health,1.770309134,0.387552378,0.150322307
2012_12_10_SS_Women__S Asia.txt,SS,Women,-2.161630827,-0.939919652,0.74639431
2011_06_02_SS_Health_Aids.txt,SS,Health,0.01109368,1.955633871,-0.175322266
2012_06_01_SS_Health_Global.txt,SS,Health,-1.036616481,-0.574376747,1.28779203
2011_03_31_SS_Women_Ferraro.txt,SS,Women,-0.913787836,-2.421106754,-5.369310077
2012_05_18_SS_Health_Food.txt,SS,Health,-1.193353341,-0.457980023,0.394798254
2010_12_16_SS_Foreign_Holbrooke.txt,SS,Foreign,0.357389666,0.609668945,0.724703431
2013_01_23_SS_Foreign_Benghazi_House.txt,SS,Foreign,0.70348186,0.28848286,0.299164684
2009_10_19_SS_Foreign_Sudan.txt,SS,Foreign,3.125379844,0.9645957,0.854210049
2001_04_05_USS_Health_Reform.txt,USS,Health,-1.861700618,0.87406046,2.07078643
1998_09_14_FL_Women_Jewish_Conference.txt,FL,Women,-2.146745537,-1.588493017,-0.804795297
2005_03_08_USS_Women_Inter_Women's_Day.txt,USS,Women,2.132592854,0.751129352,-0.231099991
2012_03_22_SS_Health_Water.txt,SS,Health,0.094288051,0.110486571,0.441779251
1999_10_26_FL_Women_Leadership.txt,FL,Women,-1.058654713,-1.168323501,-0.798550681
2005_05_26_USS_Foreign_Dirty_Bombs.txt,USS,Foreign,2.286070024,-1.539176722,1.418065469
2005_12_16_USS_Health_Violent_Videos.txt,USS,Health,1.889388922,-2.095087505,-0.299694827
1999_07_27_FL_Women_Medicare.txt,FL,Women,-0.749042444,-0.817294073,-1.058058474
1998_09_02_FL_Women_Belfast.txt,FL,Women,-0.58015679,0.073893329,-1.041140714
2012_01_13_SS_Foreign_Burma.txt,SS,Foreign,1.286772071,3.537321345,1.767938686
1994_04_11_FL_Health_Alzheimers.txt,FL,Health,-2.134065853,-1.966071907,0.72809127
2012_10_24_SS_Foreign_Nuclear.txt,SS,Foreign,-1.461033093,0.991328739,-0.589286051
2005_02_14_USS_Women_Chisholm.txt,USS,Women,2.404707977,-1.994021586,-1.135239086
2001_03_06_USS_Health_Ergonomics.txt,USS,Health,1.741851327,-1.247154325,-0.496554977
1998_11_22_FL_Health_Haiti.txt,FL,Health,-2.24401535,0.564854944,-0.396809391
1994_06_14_FL_Women_Health_Care.txt,FL,Women,-0.212357418,-2.275031561,-0.036017456
2006_05_25_USS_Foreign_Darfur_Sudan.txt,USS,Foreign,2.997730804,-0.169417492,0.400854342
2005_03_17_USS_Women_Contraception.txt,USS,Women,0.423698695,-0.931041324,2.745749203
1997_05_22_FL_Foreign_Johns_Hopkins.txt,FL,Foreign,-0.115522094,0.237567022,0.656445589
2003_11_12_USS_Health_CARES.txt,USS,Health,1.25209953,-0.13640502,1.371150142
2005_04_19_USS_Women_Pay_Equity.txt,USS,Women,1.436199184,1.678539276,-1.513089106
2003_09_10_USS_Health_Vaccines.txt,USS,Health,3.339719845,2.7799999,0.220835641
2006_06_21_USS_Foreign_Levin.txt,USS,Foreign,1.629716449,-1.814200599,1.012900989
1999_03_04_FL_Women_Sports.txt,FL,Women,-2.003593898,-2.016025733,-2.410821181
2005_05_17_USS_Health_Pollution.txt,USS,Health,2.137357977,0.64061178,0.477773272
1995_03_01_FL_Women_Women's_History.txt,FL,Women,-0.310685001,-0.037344913,-2.161790943
2005_04_11_USS_Women_Orphanage_Nuns.txt,USS,Women,2.740771927,5.392963074,-3.82814882
2006_07_12_USS_Foreign_Homeland_Sec.txt,USS,Foreign,0.201534044,-1.89886321,1.008942884
2011_05_06_SS_Health_Food.txt,SS,Health,0.384663454,0.771951118,0.642152006
1997_01_10_FL_Health_Medical_Center.txt,FL,Health,-1.855044336,0.031035962,-1.308078704
2011_12_19_SS_Women_Peace Security.txt,SS,Women,0.336045328,1.233325513,0.305463299
2011_09_16_SS_Women_Apec.txt,SS,Women,1.335684418,0.133890312,1.635604361
2005_12_21_USS_Health_Pharmaceuticals.txt,USS,Health,3.287197725,-3.512350126,2.341736154
2005_05_14_USS_Women_Agnes Scott.txt,USS,Women,-2.323302456,-2.178216402,-1.340974408
2012_03_15_SS_Women_Slavery.txt,SS,Women,-0.758089814,-0.652417031,1.633914674
2005_06_29_USS_Health_Pesticides.txt,USS,Health,2.638866295,-2.234887655,1.796176787
2002_10_10_USS_Foreign_Iraq.txt,USS,Foreign,0.863503214,-1.124633067,0.948337229
2005_12_21_USS_Women_Trafficking .txt,USS,Women,2.459978626,1.127550289,-0.408656456
1999_06_07_FL_Health_Mental.txt,FL,Health,-0.870949698,-3.938647528,-0.121458894
2005_10_27_USS_Health_Flu.txt,USS,Health,3.457344788,-0.766249393,1.901383908
2002_05_16_USS_Foreign_911_Investigation.txt,USS,Foreign,1.048429184,-2.479706878,0.563232473
2011_09_19_SS_Women_UN Women.txt,SS,Women,-1.203224054,-0.358667395,0.652809545
1999_10_05_FL_Women_Textiles.txt,FL,Women,-3.524411986,-0.540048356,-0.332013481
1997_10_16_FL_Women_Argentina.txt,FL,Women,0.430993807,0.157590005,-0.999343594
1998_10_09_FL_Health_Children.txt,FL,Health,-0.710365118,-1.236764138,-0.433393124
2006_09_20_USS_Women_Diabetes.txt,USS,Women,1.802942066,0.842279445,0.236028076
2004_05_12_USS_Health_Children.txt,USS,Health,0.83848234,-1.663176458,1.037835748
2011_07_28_SS_Women_Moms_Babies.txt,SS,Women,-1.088384311,-0.166661515,0.037819316
2003_09_03_USS_Health_Nursing.txt,USS,Health,1.10339286,0.395963067,-0.316284471
2009_12_09_SS_Women_Eleanor Roosevelt.txt,SS,Women,-0.982431527,1.784297205,0.078558316
2006_07_26_USS_Health_Babies.txt,USS,Health,1.652360827,-0.266382077,-0.851021582
2010_04_15_SS_Foreign_Middle_East.txt,SS,Foreign,-0.266047301,-0.394227348,0.177129761
1999_04_09_FL_Foreign_Kosovo.txt,FL,Foreign,-1.674361644,-0.802458977,-1.289505528
1994_03_22_FL_Health_UAW.txt,FL,Health,-1.995180129,-1.991890429,-0.323125281
2005_07_14_USS_Foreign_Chertoff.txt,USS,Foreign,2.180491158,-2.698414478,-0.434352465
1999_11_18_FL_Foreign_Turkey.txt,FL,Foreign,0.081352752,-0.32789847,-1.79977251
1995_03_27_FL_Women_Science_Pakistan.txt,FL,Women,-0.215386098,0.692058643,-0.898895934
2003_07_22_USS_Foreign_Homeland_Sec.txt,USS,Foreign,-0.059133068,-1.5184908,2.078180379
2012_02_16_SS_Health_Pollution.txt,SS,Health,1.04029995,0.907390071,0.10647954
2009_06_12_SS_Women_Global_Issues.txt,SS,Women,-3.613083365,-0.216842205,-2.040763409
2011_05_02_SS_ Foreign_Bin_Laden_Death.txt,SS,Foreign,1.286780643,0.272612812,0.101533693
1999_06_17_FL_Foreign_Globalization.txt,FL,Foreign,-0.406098009,-1.486663364,-0.620700979
2011_03_22_SS_Health_Water.txt,SS,Health,0.00500826,1.547034612,0.778884322
1999_02_23_FL_Health_Insurance.txt,FL,Health,-0.34404849,-0.100553865,-1.548034641
2012_09_12_SS_Foreign_Benghazi.txt,SS,Foreign,1.812964536,1.855072969,-4.524345806
2013_01_15_SS_Foreign_Liberia.txt,SS,Foreign,-0.955132838,2.273801627,0.230422963
2009_10_09_SS_Women_Entrepreneurs.txt,SS,Women,-6.516575643,-0.238924223,1.103237274
1993_11_19_FL_Women_Security.txt,FL,Women,-3.545963396,-2.520375745,-0.843649437
2003_06_25_USS_Health_Drugs.txt,USS,Health,1.860297488,-1.806256499,1.637219828
1994_09_24_FL_Foriegn_Coast Guard.txt,FL,Foreign,-1.412056231,-1.675300701,-0.471346864
1998_12_14_FL_Women_Gaza_Strip.txt,FL,Women,-1.131548374,1.519934221,-1.080060725
2006_06_20_USS_Health_Mental.txt,USS,Health,2.274407801,0.329929389,2.627877668
1998_03_23_FL_Women_Ghana.txt,FL,Women,-3.07935575,0.435853034,-0.220043709
1998_09_10_FL_Health_Colon_Cancer.txt,FL,Health,-0.413442957,-0.16687766,-0.264648457
2006_09_20_USS_Foreign_Israel.txt,USS,Foreign,3.114020632,1.875502788,-0.578337507
2009_10_25_SS_Foreign_Iraq_Bombings.txt,SS,Foreign,5.527047362,2.820331107,1.780471146
1994_04_20_FL_Health_Comm_Workers.txt,FL,Health,-2.222198033,-3.101425272,-0.214781205
1995_09_06_FL_Women_China.txt,FL,Women,-1.804329165,-1.046426889,-1.383105561
2009_05_20_SS_Foreign_Budgets.txt,SS,Foreign,0.013983988,2.054111188,2.318909665
2009_06_11_SS_Health_Hunger.txt,SS,Health,0.012487993,1.499453228,-0.907227526
2006_01_26_USS_Health_Medicare_Drugs.txt,USS,Health,3.023182375,1.279665843,-0.915669331
1995_05_22_FL_Health_Ped_AIDS.txt,FL,Health,-0.827742654,-0.24818671,-0.717971335
2011_06_27_SS_Foreign_Gay_Rights.txt,SS,Foreign,-1.132713155,1.428080463,-0.688172162
2010_03_12_SS_Women_UN.txt,SS,Women,0.436149352,0.825219445,-0.779845781
1998_09_17_FL_Foreign_Muskie.txt,FL,Foreign,-1.28358386,-0.160636589,-0.03749977
1998_09_30_FL_Women_Chile.txt,FL,Women,-0.357592663,2.04411807,-0.419503569
1995_03_29_FL_Women_India_Economy.txt,FL,Women,0.81232608,0.350864187,0.705286798
2010_05_27_SS_Foreign_National_Sec.txt,SS,Foreign,-1.134345965,-0.514417818,1.886799439
2002_03_22_USS_Women_History.txt,USS,Women,0.521947055,1.873326218,-4.811715602
1998_09_15_FL_Foreign_Peace_Corps.txt,FL,Foreign,-2.589827679,0.295888628,-1.059255889
1998_10_06_FL_Health_Families.txt,FL,Health,-0.393164994,-1.362382232,-0.658705681
2003_05_15_USS_Women_Aids.txt,USS,Women,1.190469844,-0.996081647,0.481631321
1999_06_22_FL_Foreign_Macedonia.txt,FL,Foreign,-1.661858915,1.542188287,-2.411143583
